yy mm dd HH MM SS obs-obs-1-1-t2m obs-obs-1-1-ws_10min obs-obs-1-1-wg_10min obs-obs-1-1-wd_10min obs-obs-1-1-rh obs-obs-1-1-td obs-obs-1-1-r_1h obs-obs-1-1-ri_10min obs-obs-1-1-snow_aws obs-obs-1-1-p_sea obs-obs-1-1-vis obs-obs-1-1-n_man obs-obs-1-1-wawa
2017 01 01 07 30 00 0.5 2.5 3.4 239.0 93.0 -0.4 NaN 0.0 0.0 997.1 28260.0 7.0 0.0
2017 01 01 07 40 00 0.5 2.6 3.8 230.0 93.0 -0.4 NaN 0.0 0.0 997.1 27480.0 7.0 0.0
2017 01 01 07 50 00 0.5 2.5 3.8 244.0 94.0 -0.4 NaN 0.0 0.0 997.3 29180.0 7.0 0.0
2017 01 01 08 00 00 0.7 2.1 3.1 244.0 94.0 -0.2 0.0 0.0 0.0 997.3 27960.0 7.0 0.0
2017 01 01 08 10 00 0.7 2.7 3.7 247.0 94.0 -0.2 NaN 0.0 0.0 997.2 27070.0 7.0 0.0
2017 01 01 08 20 00 0.8 3.3 4.1 252.0 94.0 -0.1 NaN 0.0 0.0 997.2 27200.0 7.0 0.0
2017 01 01 08 30 00 0.8 2.8 3.6 252.0 93.0 -0.1 NaN 0.0 0.0 997.3 26160.0 7.0 0.0
2017 01 01 08 40 00 0.7 3.0 4.1 244.0 93.0 -0.3 NaN 0.0 0.0 997.4 26280.0 7.0 0.0
2017 01 01 08 50 00 0.9 3.3 4.1 241.0 93.0 0.0 NaN 0.0 0.0 997.4 28330.0 7.0 0.0
2017 01 01 09 00 00 0.8 2.6 4.0 236.0 93.0 -0.2 0.0 0.0 0.0 997.5 28420.0 7.0 0.0
2017 01 01 09 10 00 0.9 2.6 3.9 255.0 93.0 -0.1 NaN 0.0 0.0 997.4 27810.0 7.0 0.0
2017 01 01 09 20 00 1.0 3.3 4.1 247.0 93.0 0.0 NaN 0.0 0.0 997.5 25230.0 7.0 0.0
2017 01 01 09 30 00 0.9 3.3 4.3 250.0 92.0 -0.2 NaN 0.0 0.0 997.5 25980.0 7.0 0.0
2017 01 01 09 40 00 1.0 2.9 4.4 269.0 93.0 0.0 NaN 0.0 0.0 997.4 25540.0 7.0 0.0
2017 01 01 09 50 00 0.7 3.2 4.7 269.0 93.0 -0.2 NaN 0.0 0.0 997.3 23380.0 7.0 0.0
2017 01 01 10 00 00 0.8 2.9 4.7 263.0 94.0 -0.1 0.0 0.0 0.0 997.3 21890.0 7.0 0.0
2017 01 01 10 10 00 0.8 3.1 4.3 279.0 93.0 -0.2 NaN 0.0 0.0 997.3 26190.0 7.0 0.0
2017 01 01 10 20 00 0.8 2.8 4.3 258.0 93.0 -0.2 NaN 0.0 0.0 997.2 25300.0 7.0 0.0
2017 01 01 10 30 00 0.9 2.5 4.0 256.0 93.0 -0.1 NaN 0.0 0.0 997.1 29740.0 7.0 0.0
2017 01 01 10 40 00 1.1 3.0 4.6 270.0 92.0 0.0 NaN 0.0 0.0 997.1 39340.0 7.0 0.0
2017 01 01 10 50 00 1.0 2.9 4.5 282.0 91.0 -0.3 NaN 0.0 0.0 997.2 37160.0 7.0 0.0
2017 01 01 11 00 00 1.0 2.6 4.2 293.0 91.0 -0.3 0.0 0.0 0.0 997.2 33220.0 7.0 0.0
2017 01 01 11 10 00 0.9 2.7 4.0 289.0 91.0 -0.4 NaN 0.0 0.0 997.2 38230.0 7.0 0.0
2017 01 01 11 20 00 0.8 3.1 4.3 285.0 91.0 -0.4 NaN 0.0 0.0 997.3 37530.0 7.0 0.0
2017 01 01 11 30 00 0.8 3.0 4.4 288.0 91.0 -0.5 NaN 0.0 0.0 997.2 39180.0 5.0 0.0
2017 01 01 11 40 00 0.6 3.2 4.3 288.0 92.0 -0.7 NaN 0.0 0.0 997.2 36350.0 5.0 0.0
2017 01 01 11 50 00 0.5 3.1 4.2 287.0 92.0 -0.7 NaN 0.0 0.0 997.2 44210.0 5.0 0.0
2017 01 01 12 00 00 0.3 2.7 3.9 288.0 92.0 -0.9 0.0 0.0 0.0 997.2 36440.0 3.0 0.0
2017 01 01 12 10 00 0.1 2.3 3.2 284.0 92.0 -1.0 NaN 0.0 0.0 997.2 37770.0 1.0 0.0
2017 01 01 12 20 00 -0.1 2.7 3.3 286.0 93.0 -1.1 NaN 0.0 0.0 997.2 35080.0 1.0 0.0
2017 01 01 12 30 00 -0.5 2.7 3.5 286.0 93.0 -1.4 NaN 0.0 0.0 997.3 28760.0 0.0 0.0
2017 01 01 12 40 00 -0.5 2.7 3.3 284.0 94.0 -1.4 NaN 0.0 0.0 997.3 26400.0 0.0 0.0
2017 01 01 12 50 00 -0.6 2.5 3.2 278.0 94.0 -1.4 NaN 0.0 0.0 997.3 30870.0 0.0 0.0
2017 01 01 13 00 00 -0.9 2.2 2.8 271.0 95.0 -1.6 0.0 0.0 0.0 997.3 28890.0 0.0 0.0
2017 01 01 13 10 00 -1.0 2.2 2.8 273.0 95.0 -1.7 NaN 0.0 0.0 997.3 25250.0 0.0 0.0
2017 01 01 13 20 00 -0.9 2.4 2.7 287.0 95.0 -1.5 NaN 0.0 0.0 997.3 31410.0 1.0 0.0
2017 01 01 13 30 00 -1.1 2.8 3.4 279.0 96.0 -1.7 NaN 0.0 0.0 997.4 25890.0 3.0 0.0
